la_Code,borough,economic_Status,Observation
E09000001,City of London,Employee: Part-time,479
E09000001,City of London,Employee: Full-time,3784
E09000001,City of London,Self-employed: Part-time,406
E09000001,City of London,Self-employed: Full-time,682
E09000001,City of London,Unemployed/Inactive,2653
E09000002,Barking and Dagenham,Employee: Part-time,23550
E09000002,Barking and Dagenham,Employee: Full-time,51044
E09000002,Barking and Dagenham,Self-employed: Part-time,7537
E09000002,Barking and Dagenham,Self-employed: Full-time,12660
E09000002,Barking and Dagenham,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,67155
E09000003,Barnet,Employee: Part-time,38625
E09000003,Barnet,Employee: Full-time,100300
E09000003,Barnet,Self-employed: Part-time,5910
E09000003,Barnet,Self-employed: Full-time,7492
E09000003,Barnet,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,123179
E09000004,Bexley,Employee: Part-time,25134
E09000004,Bexley,Employee: Full-time,73075
E09000004,Bexley,Self-employed: Part-time,7447
E09000004,Bexley,Self-employed: Full-time,12327
E09000004,Bexley,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,77844
E09000005,Brent,Employee: Part-time,34179
E09000005,Brent,Employee: Full-time,88987
E09000005,Brent,Self-employed: Part-time,15342
E09000005,Brent,Self-employed: Full-time,22490
E09000005,Brent,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,114144
E09000006,Bromley,Employee: Part-time,31028
E09000006,Bromley,Employee: Full-time,100016
E09000006,Bromley,Self-employed: Part-time,13039
E09000006,Bromley,Self-employed: Full-time,18039
E09000006,Bromley,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,102966
E09000007,Camden,Employee: Part-time,16104
E09000007,Camden,Employee: Full-time,63084
E09000007,Camden,Self-employed: Part-time,10901
E09000007,Camden,Self-employed: Full-time,12422
E09000007,Camden,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,75397
E09000008,Croydon,Employee: Part-time,40317
E09000008,Croydon,Employee: Full-time,113196
E09000008,Croydon,Self-employed: Part-time,15250
E09000008,Croydon,Self-employed: Full-time,20642
E09000008,Croydon,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,120991
E09000009,Ealing,Employee: Part-time,34845
E09000009,Ealing,Employee: Full-time,103337
E09000009,Ealing,Self-employed: Part-time,16149
E09000009,Ealing,Self-employed: Full-time,20695
E09000009,Ealing,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,120345
E09000010,Enfield,Employee: Part-time,36529
E09000010,Enfield,Employee: Full-time,75827
E09000010,Enfield,Self-employed: Part-time,14290
E09000010,Enfield,Self-employed: Full-time,17218
E09000010,Enfield,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,113318
E09000011,Greenwich,Employee: Part-time,27317
E09000011,Greenwich,Employee: Full-time,89961
E09000011,Greenwich,Self-employed: Part-time,10521
E09000011,Greenwich,Self-employed: Full-time,15136
E09000011,Greenwich,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,86814
E09000012,Hackney,Employee: Part-time,27445
E09000012,Hackney,Employee: Full-time,79311
E09000012,Hackney,Self-employed: Part-time,12029
E09000012,Hackney,Self-employed: Full-time,15523
E09000012,Hackney,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,75158
E09000013,Hammersmith and Fulham,Employee: Part-time,14102
E09000013,Hammersmith and Fulham,Employee: Full-time,64931
E09000013,Hammersmith and Fulham,Self-employed: Part-time,8506
E09000013,Hammersmith and Fulham,Self-employed: Full-time,10559
E09000013,Hammersmith and Fulham,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,56534
E09000014,Haringey,Employee: Part-time,28445
E09000014,Haringey,Employee: Full-time,73089
E09000014,Haringey,Self-employed: Part-time,15021
E09000014,Haringey,Self-employed: Full-time,17826
E09000014,Haringey,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,81916
E09000015,Harrow,Employee: Part-time,24975
E09000015,Harrow,Employee: Full-time,68891
E09000015,Harrow,Self-employed: Part-time,11564
E09000015,Harrow,Self-employed: Full-time,19609
E09000015,Harrow,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,84584
E09000016,Havering,Employee: Part-time,26501
E09000016,Havering,Employee: Full-time,74622
E09000016,Havering,Self-employed: Part-time,8709
E09000016,Havering,Self-employed: Full-time,14949
E09000016,Havering,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,84949
E09000017,Hillingdon,Employee: Part-time,30472
E09000017,Hillingdon,Employee: Full-time,86738
E09000017,Hillingdon,Self-employed: Part-time,10045
E09000017,Hillingdon,Self-employed: Full-time,15551
E09000017,Hillingdon,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,99073
E09000018,Hounslow,Employee: Part-time,28876
E09000018,Hounslow,Employee: Full-time,82670
E09000018,Hounslow,Self-employed: Part-time,11439
E09000018,Hounslow,Self-employed: Full-time,16641
E09000018,Hounslow,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,89881
E09000019,Islington,Employee: Part-time,17560
E09000019,Islington,Employee: Full-time,76024
E09000019,Islington,Self-employed: Part-time,9336
E09000019,Islington,Self-employed: Full-time,12051
E09000019,Islington,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,68656
E09000020,Kensington and Chelsea,Employee: Part-time,9633
E09000020,Kensington and Chelsea,Employee: Full-time,41696
E09000020,Kensington and Chelsea,Self-employed: Part-time,7972
E09000020,Kensington and Chelsea,Self-employed: Full-time,10139
E09000020,Kensington and Chelsea,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,54378
E09000021,Kingston upon Thames,Employee: Part-time,16267
E09000021,Kingston upon Thames,Employee: Full-time,51341
E09000021,Kingston upon Thames,Self-employed: Part-time,7368
E09000021,Kingston upon Thames,Self-employed: Full-time,9172
E09000021,Kingston upon Thames,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,51319
E09000022,Lambeth,Employee: Part-time,29023
E09000022,Lambeth,Employee: Full-time,122803
E09000022,Lambeth,Self-employed: Part-time,13600
E09000022,Lambeth,Self-employed: Full-time,17391
E09000022,Lambeth,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,88191
E09000023,Lewisham,Employee: Part-time,30917
E09000023,Lewisham,Employee: Full-time,95302
E09000023,Lewisham,Self-employed: Part-time,25500
E09000023,Lewisham,Self-employed: Full-time,16239
E09000023,Lewisham,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,86701
E09000024,Merton,Employee: Part-time,20125
E09000024,Merton,Employee: Full-time,68256
E09000024,Merton,Self-employed: Part-time,10171
E09000024,Merton,Self-employed: Full-time,13513
E09000024,Merton,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,60707
E09000025,Newham,Employee: Part-time,38993
E09000025,Newham,Employee: Full-time,89725
E09000025,Newham,Self-employed: Part-time,13705
E09000025,Newham,Self-employed: Full-time,21022
E09000025,Newham,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,112728
E09000026,Redbridge,Employee: Part-time,31442
E09000026,Redbridge,Employee: Full-time,76679
E09000026,Redbridge,Self-employed: Part-time,13401
E09000026,Redbridge,Self-employed: Full-time,20108
E09000026,Redbridge,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,100390
E09000027,Richmond upon Thames,Employee: Part-time,15572
E09000027,Richmond upon Thames,Employee: Full-time,59403
E09000027,Richmond upon Thames,Self-employed: Part-time,10300
E09000027,Richmond upon Thames,Self-employed: Full-time,12291
E09000027,Richmond upon Thames,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,58269
E09000028,Southwark,Employee: Part-time,29953
E09000028,Southwark,Employee: Full-time,109153
E09000028,Southwark,Self-employed: Part-time,12017
E09000028,Southwark,Self-employed: Full-time,15828
E09000028,Southwark,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,89188
E09000029,Sutton,Employee: Part-time,21397
E09000029,Sutton,Employee: Full-time,63416
E09000029,Sutton,Self-employed: Part-time,7808
E09000029,Sutton,Self-employed: Full-time,11605
E09000029,Sutton,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,66262
E09000030,Tower Hamlets,Employee: Part-time,29979
E09000030,Tower Hamlets,Employee: Full-time,102087
E09000030,Tower Hamlets,Self-employed: Part-time,10855
E09000030,Tower Hamlets,Self-employed: Full-time,12469
E09000030,Tower Hamlets,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,97489
E09000031,Waltham Forest,Employee: Part-time,27814
E09000031,Waltham Forest,Employee: Full-time,79888
E09000031,Waltham Forest,Self-employed: Part-time,12932
E09000031,Waltham Forest,Self-employed: Full-time,19740
E09000031,Waltham Forest,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,81810
E09000032,Wandsworth,Employee: Part-time,24155
E09000032,Wandsworth,Employee: Full-time,133072
E09000032,Wandsworth,Self-employed: Part-time,14492
E09000032,Wandsworth,Self-employed: Full-time,18722
E09000032,Wandsworth,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,90478
E09000033,Westminster,Employee: Part-time,15113
E09000033,Westminster,Employee: Full-time,64976
E09000033,Westminster,Self-employed: Part-time,9525
E09000033,Westminster,Self-employed: Full-time,12131
E09000033,Westminster,Unemployed/Inactive: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,75725
